BOOK_ID,last_name,first_name,title,Date,url
2709,Lester,Mary,The Fat Of The Land A Novel,1888,"https://archive.org/details/texts?&and[]=The%20Fat%20Of%20The%20Land%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Lester"""
2710,Somers,Robert,The Martyr Of Glencree A Romance Too True,1878,"https://archive.org/details/texts?&and[]=The%20Martyr%20Of%20Glencree%20A%20Romance%20Too%20True&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Somers"""
2711,Somerville,Edith,The Real Charlotte,1894,"https://archive.org/details/texts?&and[]=The%20Real%20Charlotte&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Somerville"""
2712,Stephenson,Eliza,The Senior Songman,1883,"https://archive.org/details/texts?&and[]=The%20Senior%20Songman&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Stephenson"""
2713,Southey,Robert,The Doctor Etc,1865,"https://archive.org/details/texts?&and[]=The%20Doctor%20Etc&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Southey"""
2714,Speight,Thomas,A Secret Of The Sea A Novel,1876,"https://archive.org/details/texts?&and[]=A%20Secret%20Of%20The%20Sea%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Speight"""
2715,Speight,Thomas,In The Dead Of Night A Novel,1874,"https://archive.org/details/texts?&and[]=In%20The%20Dead%20Of%20Night%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Speight"""
2716,Speight,Thomas,Under Lock And Key A Story,1869,"https://archive.org/details/texts?&and[]=Under%20Lock%20And%20Key%20A%20Story&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Speight"""
2717,Spence,Elizabeth,A Travellers Tale Of The Last Century,1819,"https://archive.org/details/texts?&and[]=A%20Travellers%20Tale%20Of%20The%20Last%20Century&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Spence"""
2718,Spence,Elizabeth,Dame Rebecca Berry Or Court Scenes In The Reign Of Charles The Second,1827,"https://archive.org/details/texts?&and[]=Dame%20Rebecca%20Berry%20Or%20Court%20Scenes%20In%20The%20Reign%20Of%20Charles%20The%20Second&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Spence"""
2719,Spencer,Leigh,The Cabinet Secret,1867,"https://archive.org/details/texts?&and[]=The%20Cabinet%20Secret&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Spencer"""
2720,Spender,Emily,Until The Day Breaks,1886,"https://archive.org/details/texts?&and[]=Until%20The%20Day%20Breaks&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Spender"""
2721,Spender,Lillian,A Modern Quixote,1894,"https://archive.org/details/texts?&and[]=A%20Modern%20Quixote&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Spender"""
2722,Spender,Lillian,A Strange Temptation,1893,"https://archive.org/details/texts?&and[]=A%20Strange%20Temptation&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Spender"""
2723,Spender,Lillian,Mr Nobody,1884,"https://archive.org/details/texts?&and[]=Mr%20Nobody&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Spender"""
2724,Spender,Lillian,A Waking,1892,"https://archive.org/details/texts?&and[]=A%20Waking&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Spender"""
2725,Spender,Lillian,Godwyns Ordeal,1879,"https://archive.org/details/texts?&and[]=Godwyns%20Ordeal&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Spender"""
2726,Spicer,Henry,Bound To Please,1867,"https://archive.org/details/texts?&and[]=Bound%20To%20Please&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Spicer"""
2727,Spofford,Harriet,Azarian An Episode,1864,"https://archive.org/details/texts?&and[]=Azarian%20An%20Episode&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Spofford"""
2728,Spofford,Harriet,Sir Rohans Ghost A Romance,1860,"https://archive.org/details/texts?&and[]=Sir%20Rohans%20Ghost%20A%20Romance&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Spofford"""
2729,Spofford,Harriet,The Thief In The Night,1872,"https://archive.org/details/texts?&and[]=The%20Thief%20In%20The%20Night&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Spofford"""
2730,Marshall,Frances,A Tragic Honeymoon A Novel,1894,"https://archive.org/details/texts?&and[]=A%20Tragic%20Honeymoon%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Marshall"""
2731,Marshall,Frances,In The Face Of The World A Novel,1894,"https://archive.org/details/texts?&and[]=In%20The%20Face%20Of%20The%20World%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Marshall"""
2732,Marshall,Frances,Orchard Damerel,1894,"https://archive.org/details/texts?&and[]=Orchard%20Damerel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Marshall"""
2733,Marshall,Frances,The Junior Dean A Novel,1891,"https://archive.org/details/texts?&and[]=The%20Junior%20Dean%20A%20Novel&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Marshall"""
2734,Marshall,Frances,The Master Of St Benedicts,1893,"https://archive.org/details/texts?&and[]=The%20Master%20Of%20St%20Benedicts&and[]=mediatype%3A%22texts%22&and[]=creator%3A""Marshall"""
