,verb,coeff_percentage,coeff_count_number,coeff_NSC
154,moved,0.44522079907541734,0.6928310502283102,-0.0431
155,murmured,0.3930412076997566,0.6253080427152566,-0.0734
156,muttered,0.8687961398946709,1.6726342710997437,0.0858
157,observed,0.6422601263742349,1.0259942703067073,0.0046
158,offered,0.5866829986718636,1.088888888888889,0.0469
159,opened,0.5262916595978784,0.8011101253440707,-0.0231
160,ought,0.6555854400252743,0.9694705162211796,0.0
161,paid,0.6228161748372953,1.1537632089713177,0.0799
162,pass,0.42552225089288664,0.7216867469879521,0.0
163,passed,0.6916243158642258,1.0530826364722379,0.0
164,paused,0.7041762299626229,1.047017704454199,0.0
165,pay,0.62552973917628,1.1286672254819785,0.0433
166,perceived,0.5937772448195099,0.833565729336122,0.0
167,placed,0.6102359487178981,1.0581532997928385,0.0009
168,played,0.3210063056727356,0.564404061998931,-0.0085
169,pleased,0.4842437909947028,0.8038911602988865,-0.0002
170,pointed,0.4993575193285542,0.9145299145299145,0.0
171,possessed,0.519302700149046,0.8672324946953622,0.0
172,pressed,0.5457433834912782,0.9117457716392575,0.0
173,proceeded,0.7837347241785169,1.1732066713445244,0.0481
174,promised,0.5609802417356753,0.929632525410477,0.0144
175,put,0.75909966185958,0.9948857741522064,0.0
176,quitted,0.7406034656382743,1.0625844214317877,0.0094
177,raised,0.5436447287510023,0.8682998324958121,-0.0219
178,ran,0.34412387956493096,0.5732951039814176,-0.0704
179,reached,0.6993766023021999,0.9819816313823169,0.0409
180,read,0.6108235371994888,0.8778100767122831,-0.0365
181,ready,0.4670910844481181,0.7408100984880002,-0.0006
182,receive,0.34983173449311383,0.5892923649906888,-0.0255
183,received,0.6851279916177739,0.9791754446444759,0.0
184,recovered,0.33074282562209006,0.6409016243840118,-0.0402
185,refused,0.3060337035209437,0.5429104477611939,-0.0522
186,regarded,0.47392352088287826,0.8536585365853657,0.0
187,remain,0.3923256443464055,0.6964460612844553,-0.0297
188,remained,0.5303207822307734,0.8738197424892697,-0.0128
189,remembered,0.527999415837668,0.7169651472007148,-0.0185
190,repeated,0.5403083607781998,0.8568632248593098,-0.0121
191,replied,0.6215066751855354,1.030438517433673,-0.0674
192,resolved,0.6732534623133848,0.9202607412266318,0.0101
193,resumed,0.5197974081556034,0.9282648096918817,0.0
194,retired,0.4190749622287858,0.763862006148241,-0.0112
195,return,0.6195600668236335,1.0231725064368076,0.0353
196,returned,0.7883896858979019,1.205692526139151,0.037000000000000005
197,rode,0.6356739854223629,1.2675090252707584,0.0963
198,rose,0.5092044187757532,0.7600510287857927,-0.0844
199,run,0.39291645215869075,0.6979394317827037,0.0
